STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,indic_bt,Business trend indicator,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),s_adj,Seasonal adjustment,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:STS_INPR_M(1.0),Production in industry - monthly data,M,Monthly,PRD,Production (volume),B-D,"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",CA,"Calendar adjusted data, not seasonally adjusted data",I15,"Index, 2015=100",EA20,Euro area – 20 countries (2023-2025),1992-03,,87.6,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:STS_INPR_M(1.0),Production in industry - monthly data,M,Monthly,PRD,Production (volume),B-D,"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",CA,"Calendar adjusted data, not seasonally adjusted data",I15,"Index, 2015=100",EA20,Euro area – 20 countries (2023-2025),1992-04,,81.3,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:STS_INPR_M(1.0),Production in industry - monthly data,M,Monthly,PRD,Production (volume),B-D,"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",CA,"Calendar adjusted data, not seasonally adjusted data",I15,"Index, 2015=100",EA20,Euro area – 20 countries (2023-2025),1992-05,,81.4,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:STS_INPR_M(1.0),Production in industry - monthly data,M,Monthly,PRD,Production (volume),B-D,"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",CA,"Calendar adjusted data, not seasonally adjusted data",I15,"Index, 2015=100",EA20,Euro area – 20 countries (2023-2025),1992-06,,83.8,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:STS_INPR_M(1.0),Production in industry - monthly data,M,Monthly,PRD,Production (volume),B-D,"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",CA,"Calendar adjusted data, not seasonally adjusted data",I15,"Index, 2015=100",EA20,Euro area – 20 countries (2023-2025),1992-07,,79.8,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:STS_INPR_M(1.0),Production in industry - monthly data,M,Monthly,PRD,Production (volume),B-D,"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",CA,"Calendar adjusted data, not seasonally adjusted data",I15,"Index, 2015=100",EA20,Euro area – 20 countries (2023-2025),1992-08,,57.0,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:STS_INPR_M(1.0),Production in industry - monthly data,M,Monthly,PRD,Production (volume),B-D,"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",CA,"Calendar adjusted data, not seasonally adjusted data",I15,"Index, 2015=100",EA20,Euro area – 20 countries (2023-2025),1992-09,,82.1,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:STS_INPR_M(1.0),Production in industry - monthly data,M,Monthly,PRD,Production (volume),B-D,"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",CA,"Calendar adjusted data, not seasonally adjusted data",I15,"Index, 2015=100",EA20,Euro area – 20 countries (2023-2025),1992-10,,85.0,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:STS_INPR_M(1.0),Production in industry - monthly data,M,Monthly,PRD,Production (volume),B-D,"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",CA,"Calendar adjusted data, not seasonally adjusted data",I15,"Index, 2015=100",EA20,Euro area – 20 countries (2023-2025),1992-11,,83.1,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:STS_INPR_M(1.0),Production in industry - monthly data,M,Monthly,PRD,Production (volume),B-D,"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",CA,"Calendar adjusted data, not seasonally adjusted data",I15,"Index, 2015=100",EA20,Euro area – 20 countries (2023-2025),1992-12,,74.0,,i,value imputed by Eurostat or other receiving agencies,,
