STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,indic_bt,Business trend indicator,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),s_adj,Seasonal adjustment,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:STS_INPR_M(1.0),Production in industry - monthly data,M,Monthly,PRD,Production (volume),B-D,"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",CA,"Calendar adjusted data, not seasonally adjusted data",I15,"Index, 2015=100",EA20,Euro area – 20 countries (2023-2025),1993-01,,74.5,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:STS_INPR_M(1.0),Production in industry - monthly data,M,Monthly,PRD,Production (volume),B-D,"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",CA,"Calendar adjusted data, not seasonally adjusted data",I15,"Index, 2015=100",EA20,Euro area – 20 countries (2023-2025),1993-02,,75.2,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:STS_INPR_M(1.0),Production in industry - monthly data,M,Monthly,PRD,Production (volume),B-D,"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",CA,"Calendar adjusted data, not seasonally adjusted data",I15,"Index, 2015=100",EA20,Euro area – 20 countries (2023-2025),1993-03,,81.8,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:STS_INPR_M(1.0),Production in industry - monthly data,M,Monthly,PRD,Production (volume),B-D,"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",CA,"Calendar adjusted data, not seasonally adjusted data",I15,"Index, 2015=100",EA20,Euro area – 20 countries (2023-2025),1993-04,,75.4,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:STS_INPR_M(1.0),Production in industry - monthly data,M,Monthly,PRD,Production (volume),B-D,"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",CA,"Calendar adjusted data, not seasonally adjusted data",I15,"Index, 2015=100",EA20,Euro area – 20 countries (2023-2025),1993-05,,76.1,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:STS_INPR_M(1.0),Production in industry - monthly data,M,Monthly,PRD,Production (volume),B-D,"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",CA,"Calendar adjusted data, not seasonally adjusted data",I15,"Index, 2015=100",EA20,Euro area – 20 countries (2023-2025),1993-06,,78.6,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:STS_INPR_M(1.0),Production in industry - monthly data,M,Monthly,PRD,Production (volume),B-D,"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",CA,"Calendar adjusted data, not seasonally adjusted data",I15,"Index, 2015=100",EA20,Euro area – 20 countries (2023-2025),1993-07,,75.5,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:STS_INPR_M(1.0),Production in industry - monthly data,M,Monthly,PRD,Production (volume),B-D,"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",CA,"Calendar adjusted data, not seasonally adjusted data",I15,"Index, 2015=100",EA20,Euro area – 20 countries (2023-2025),1993-08,,54.1,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:STS_INPR_M(1.0),Production in industry - monthly data,M,Monthly,PRD,Production (volume),B-D,"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",CA,"Calendar adjusted data, not seasonally adjusted data",I15,"Index, 2015=100",EA20,Euro area – 20 countries (2023-2025),1993-09,,79.8,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:STS_INPR_M(1.0),Production in industry - monthly data,M,Monthly,PRD,Production (volume),B-D,"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",CA,"Calendar adjusted data, not seasonally adjusted data",I15,"Index, 2015=100",EA20,Euro area – 20 countries (2023-2025),1993-10,,82.2,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:STS_INPR_M(1.0),Production in industry - monthly data,M,Monthly,PRD,Production (volume),B-D,"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",CA,"Calendar adjusted data, not seasonally adjusted data",I15,"Index, 2015=100",EA20,Euro area – 20 countries (2023-2025),1993-11,,81.2,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:STS_INPR_M(1.0),Production in industry - monthly data,M,Monthly,PRD,Production (volume),B-D,"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",CA,"Calendar adjusted data, not seasonally adjusted data",I15,"Index, 2015=100",EA20,Euro area – 20 countries (2023-2025),1993-12,,74.1,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:STS_INPR_M(1.0),Production in industry - monthly data,M,Monthly,PRD,Production (volume),B-D,"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",CA,"Calendar adjusted data, not seasonally adjusted data",I15,"Index, 2015=100",EA20,Euro area – 20 countries (2023-2025),1994-01,,73.5,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:STS_INPR_M(1.0),Production in industry - monthly data,M,Monthly,PRD,Production (volume),B-D,"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",CA,"Calendar adjusted data, not seasonally adjusted data",I15,"Index, 2015=100",EA20,Euro area – 20 countries (2023-2025),1994-02,,76.1,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:STS_INPR_M(1.0),Production in industry - monthly data,M,Monthly,PRD,Production (volume),B-D,"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",CA,"Calendar adjusted data, not seasonally adjusted data",I15,"Index, 2015=100",EA20,Euro area – 20 countries (2023-2025),1994-03,,83.4,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:STS_INPR_M(1.0),Production in industry - monthly data,M,Monthly,PRD,Production (volume),B-D,"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",CA,"Calendar adjusted data, not seasonally adjusted data",I15,"Index, 2015=100",EA20,Euro area – 20 countries (2023-2025),1994-04,,78.6,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:STS_INPR_M(1.0),Production in industry - monthly data,M,Monthly,PRD,Production (volume),B-D,"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",CA,"Calendar adjusted data, not seasonally adjusted data",I15,"Index, 2015=100",EA20,Euro area – 20 countries (2023-2025),1994-05,,79.2,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:STS_INPR_M(1.0),Production in industry - monthly data,M,Monthly,PRD,Production (volume),B-D,"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",CA,"Calendar adjusted data, not seasonally adjusted data",I15,"Index, 2015=100",EA20,Euro area – 20 countries (2023-2025),1994-06,,83.0,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:STS_INPR_M(1.0),Production in industry - monthly data,M,Monthly,PRD,Production (volume),B-D,"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",CA,"Calendar adjusted data, not seasonally adjusted data",I15,"Index, 2015=100",EA20,Euro area – 20 countries (2023-2025),1994-07,,80.7,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:STS_INPR_M(1.0),Production in industry - monthly data,M,Monthly,PRD,Production (volume),B-D,"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",CA,"Calendar adjusted data, not seasonally adjusted data",I15,"Index, 2015=100",EA20,Euro area – 20 countries (2023-2025),1994-08,,57.7,,i,value imputed by Eurostat or other receiving agencies,,
