date,Observed UA,CF-A (no UA shocks),CF-B (EA shocks),Euro Area
2001-03-01,17.26426339395486,16.35615754722258,17.327597998287626,2.9545454545454537
2001-04-01,17.03365520635609,14.251815718900485,18.68476495653335,3.372727272727273
2001-05-01,15.085004727895734,12.646699574268917,20.196616350512777,3.6181818181818177
2001-06-01,11.644662252905613,11.403202705327145,19.74110546041214,3.472727272727273
2001-07-01,9.85655955416036,10.324383970634068,17.77138726431003,3.1727272727272724
2001-08-01,9.636846435052071,9.346838464965401,15.651942242722567,2.9818181818181815
2001-09-01,7.285958889661037,8.521240411421763,13.83013992828425,2.8909090909090907
2001-10-01,6.016302571440213,7.859604399841255,12.447045644489696,2.8272727272727276
2001-11-01,6.121896498304169,7.4050678895623365,10.384538329989633,2.6181818181818186
2001-12-01,6.121896498304169,6.952488559550845,10.280165354836615,2.772727272727273
2002-01-01,5.599128535258346,6.552274180307178,12.972766738903406,3.263636363636364
2002-02-01,3.4997422820723045,6.507705068139196,12.31174887501347,3.0
2002-03-01,2.1622704633178946,6.267682957785811,12.790099993690438,3.0727272727272723
2002-04-01,2.0616179801028256,6.120790813254962,12.43445594797211,2.9818181818181815
2002-05-01,1.350032994185768,6.03800868398807,10.465913258294298,2.690909090909091
2002-06-01,-1.0678604370870648,5.919218797809841,8.362389115337981,2.481818181818182
2002-07-01,-0.8665742935206056,5.75734939578048,8.096070818386469,2.5727272727272728
2002-08-01,-0.8665742935206278,5.695753246704367,8.771619178402299,2.727272727272727
2002-09-01,-1.0640512371589916,5.765022058939609,8.502060770115413,2.6454545454545455
2002-10-01,-0.5703588780629487,5.752202635582867,9.214739153642041,2.7636363636363637
2002-11-01,-0.37248894548197464,5.803954378929683,9.468103550293854,2.7636363636363637
2002-12-01,-0.5686060932270864,5.841295504672687,9.500197147460765,2.7454545454545456
2003-01-01,-0.07637146992623967,5.897677907585753,8.781342534242695,2.6181818181818177
2003-02-01,2.457189091181089,5.803641749113223,10.378051686312588,2.9272727272727277
2003-03-01,4.314419104918521,5.912438442669951,10.004433486735937,2.809090909090909
2003-04-01,3.5942998408806215,6.02582202369938,7.6627042950510305,2.4636363636363634
2003-05-01,3.9060178945643065,6.06445166674413,5.124522925284681,2.190909090909091
2003-06-01,5.916419462789091,6.04378897604316,4.543409158678635,2.272727272727273
2003-07-01,7.4218305008388885,6.189231431547115,3.765836559129369,2.2181818181818183
2003-08-01,5.8072739301850085,6.329509422104874,3.9646547473977103,2.3
2003-09-01,6.229658257251569,6.518865509595013,4.561816123232338,2.3363636363636364
2003-10-01,6.862605575566838,6.796804643560829,3.91959697273182,2.145454545454545
2003-11-01,8.13604278202844,6.949584923970615,4.588972835309587,2.2454545454545456
2003-12-01,8.24268582224741,7.224671847210768,3.9384487628123486,2.0727272727272728
2004-01-01,8.136042782028419,7.485994806035376,2.4498514568204577,1.8181818181818181
2004-02-01,7.387326363161795,7.699293308325556,1.3927236265541039,1.6909090909090911
2004-03-01,6.643793935325859,7.9362436198567705,0.9072457283315885,1.6272727272727274
2004-04-01,6.643793935325881,8.119706904486584,2.714582265134476,1.8909090909090907
2004-05-01,7.39030049287317,8.347912991100376,5.896092731033667,2.2363636363636363
2004-06-01,8.033998597725557,8.660593672539713,7.942237307372295,2.3000000000000003
2004-07-01,8.142140738463999,8.916776438304677,8.595194008976607,2.1999999999999997
2004-08-01,9.902338349669936,9.046088920742774,8.992903616310015,2.163636363636363
2004-09-01,10.667066350114961,9.181485211964418,8.100341606367195,1.981818181818182
2004-10-01,11.65028806497288,9.113241457722864,9.752295240594421,2.3000000000000003
2004-11-01,11.321582604526403,9.232156643939456,9.800709666753704,2.2181818181818183
2004-12-01,12.308670529098563,9.267930514844766,9.835178336909017,2.190909090909091
2005-01-01,12.640944702261603,9.335182482075425,8.84748321077372,2.027272727272728
2005-02-01,13.314097758251208,9.323373306092376,8.541173232329587,2.0363636363636366
2005-03-01,14.668449524286098,9.304065575060884,9.243702332401822,2.1818181818181817
2005-04-01,14.668449524286098,9.37652454533818,9.26579843724854,2.1545454545454548
2005-05-01,14.554578174212306,9.474215597846745,8.15257110998163,1.9545454545454546
2005-06-01,14.44081990393007,9.468953250380835,8.057397085356756,1.9909090909090907
2005-07-01,14.78414236364185,9.446732277774517,9.445329107821749,2.2181818181818183
2005-08-01,14.899041405046876,9.517647446690173,10.42446428070056,2.2818181818181817
2005-09-01,13.878220701546962,9.47562931703438,12.858293348532632,2.590909090909091
2005-10-01,12.429671905930405,9.587200753034539,12.649259243968114,2.372727272727273
2005-11-01,11.987035402363766,9.554014340615606,12.04271790742624,2.2363636363636363
2005-12-01,10.346600313461995,9.448662418351145,11.942894431780612,2.2545454545454544
2006-01-01,9.80408998743707,9.336981048922361,12.47919274741662,2.3454545454545452
2006-02-01,10.673825353674204,9.259689873771915,12.988722867123945,2.4
2006-03-01,8.604137674816092,9.218597728738416,12.620510073847173,2.327272727272727
2006-04-01,7.417796548278854,9.033010988359035,14.110693574981186,2.5818181818181816
2006-05-01,7.311019414533049,8.94333920743054,15.090253361360773,2.6545454545454548
2006-06-01,6.777664447263976,8.871587211589551,14.822824608519433,2.5545454545454542
2006-07-01,7.416414184735176,8.712535612205734,14.595112298785166,2.5454545454545454
2006-08-01,7.416414184735176,8.5845656927064,13.564614308935461,2.4363636363636365
2006-09-01,9.128229550228962,8.555973186331693,10.081993737584689,1.9727272727272727
2006-10-01,10.966861762670877,8.419117120210712,7.365187208954079,1.8090909090909093
2006-11-01,11.624768057706468,8.270924236425314,7.076487085406789,2.018181818181818
2006-12-01,11.624768057706447,8.296495584426282,7.201893804248782,2.109090909090909
2007-01-01,10.852659978255907,8.429959153082322,6.547070596856122,1.9909090909090912
2007-02-01,9.545948858669394,8.519997863949694,6.394908309097788,1.9727272727272727
2007-03-01,10.095326736596544,8.586650556340095,7.358753054233653,2.0999999999999996
2007-04-01,10.537476643169219,8.733449041791609,7.813962916238053,2.090909090909091
2007-05-01,10.64746418211766,8.887166698433948,7.458424147531829,1.9727272727272724
2007-06-01,12.968739654469807,8.963454238666412,7.610212390490849,1.9909090909090907
2007-07-01,13.528545103699074,9.085458154035724,7.212895990542481,1.9272727272727272
2007-08-01,14.209716374321268,9.227445007926878,6.010719890737498,1.7454545454545454
2007-09-01,14.43365699466308,9.196379710454758,7.726072701349748,2.090909090909091
2007-10-01,14.768258330904803,9.226125331880572,10.976257265980315,2.5090909090909093
2007-11-01,15.21921415931702,9.240772375874151,15.318287087545933,2.9818181818181815
2007-12-01,16.589512048228585,9.334864584385953,17.28246793967751,2.9909090909090907
2008-01-01,19.373739201619156,9.18618076995381,19.630405469976544,3.2272727272727266
2008-02-01,21.86563634201084,9.002776056407226,20.86246577902223,3.3272727272727267
2008-03-01,26.244042438130965,8.65780251169486,22.719556040574965,3.6181818181818177
2008-04-01,30.157607753713034,8.463900835962079,20.828896107390243,3.309090909090909
2008-05-01,31.063276992555956,7.886717749036499,22.455261869473286,3.809090909090909
2008-06-01,29.26788963649354,7.450598540724765,24.087632928397888,4.1
2008-07-01,26.845710244882692,7.064320686432129,24.476376332214244,4.109090909090909
2008-08-01,25.96308601852666,6.645073226694076,23.626634491104767,3.972727272727273
2008-09-01,24.607318947877154,6.167199576432857,22.372808990379923,3.8818181818181814
2008-10-01,23.154172371225478,5.832879447501815,18.14240870207138,3.3454545454545452
2008-11-01,22.31065064265545,5.618940690776459,10.020955908442785,2.354545454545455
2008-12-01,22.31065064265545,5.309250952004119,2.909337822182218,1.7909090909090908
2009-01-01,22.31065064265543,5.211167697388425,-3.257654235727578,1.3454545454545455
2009-02-01,20.881509641962246,5.254219048584656,-6.370115478965681,1.290909090909091
2009-03-01,18.086561442148085,5.765306842566477,-11.627792189057601,0.6181818181818182
2009-04-01,15.56677060633116,6.166526062181252,-13.009455405116139,0.6090909090909091
2009-05-01,14.654101144484532,6.988540905448357,-16.44225020715447,0.009090909090909078
2009-06-01,14.995333588366911,7.753747379434839,-18.125929270777366,-0.22727272727272735
2009-07-01,15.457626386712153,8.721175914528635,-20.427224862290473,-0.6545454545454544
2009-08-01,15.342053187125826,9.492598813035872,-17.67184294774391,-0.24545454545454543
2009-09-01,14.999791901704107,10.63444219712203,-16.87687986739447,-0.4818181818181818
2009-10-01,14.095172103067299,11.581901783101126,-14.087827415019465,-0.33636363636363636
2009-11-01,13.645535956848299,12.37597741537207,-7.689726856841354,0.29090909090909084
2009-12-01,12.309839158139035,13.23558919950508,-1.3339985468610476,0.6909090909090909
2010-01-01,11.109248068984968,14.037681531132398,2.8151439129557425,0.7090909090909091
